user_name,rating,date,review
JD,2,2025-05-29 11:52:55,"This was one of my favorite games. However, the recent update (early 2025) has reduced the how much gold you can get by so much, you can't hardly advance. Gold chests that were worth 25k - 30k now only seem to give about 4 or 5k, and several other reductions. I've bought the monthly royale pass thing for quite a while. I won't buy it anymore and will likely quit playing all together. Hopefully they'll change it back!!"
Marcelo Matos,1,2025-07-24 19:44:25,"Three words define the actual state of the game: unrewarding, frustrating and repetitive. Right now, Clash Royale has become the most frustrating and repetitive game of all. I'm quitting the game for good because I'm sick of going against the same annoying decks over and over again. there is a lack of balance and the recent updates and new cards really sucks. The only almost fun thing about the game was the 2x2 battles, but the devs get rid of it."
D3r_Daniel,1,2025-07-13 20:57:36,"Within two updates they removed both the 2v2 and the ranked mode, giving you no more option for a fair and balanced matchmaking. This makes the game unplayable if you don't put in enough money to level your troops up to what is typical for your ladder points. Every match is either a clear win or loss right from the start, since it solely depends on what levels yours and the opponent's cards have."
TheSane Insane,1,2025-07-24 10:31:22,"I have played this game on and off for around 8 years. Before the game was pretty fun with lots of strategy and creative thinking needed to win. Now it's just pay to win, if you don't have max level cards you are bound to lose no matter how much skill you have. Match making is even worse with having to constantly go against the same meta decks such as logbait, but they decide the best course of action to reduce log usage and logbait is to nerf log which just makes it a much worse problem."
Kai Svitek,2,2025-01-26 20:09:58,"Would be fun, which it is, if it wasn't horrible at finding wifi. Can't even go five seconds without disconnecting. Once I was in a battle and my enemy was winning and I could've defended it if this sad excuse of a game didn't boot me out. I have full bars on wifi and internet but then I go into the game and then I have like 1 bar or just none. It gets so bad that in fact, it works BETTER outside in the car... FIX YOUR STUPID GAMES, this also happens on CoC too."
Eats Winner,2,2024-12-26 15:24:19,"I’ve played Clash Royale off and on for over 8 years and it was incredible at launch with fresh cards, exciting game modes and constant updates. However recent years have been disappointing with fewer content updates and an increased focus on pay-to-win microtransactions. It feels like the game is now geared toward those willing to spend money which ruins the balance and fun for long time players. It’s sad to see such an amazing game come to this but it still has potential if it listens to us."
No Name,1,2024-09-16 02:19:45,"It's an alright game, but with each update it gets worse. They release Evo's for cards that don't need it like the Mega Knight and Pekka which genuinely takes away from the experience. At first it was just a little annoying but now it's gotten to a point that you can't play casual 2v2 or 1v1 without running into an evo pekka, evo mega knight, with a sparky placed behind it or what have you. I guess it's just a bit annoying to see Supercell encourage a playstyle that makes the game boring"
Vaughn Cross,1,2025-04-25 06:08:29,"worse and worse with time, over the past 9 years of playing this game all the time, I can safely say supercell lost the plot. what an amazing concept ruined by removal of content and focus on profit. it'll be sad to see the complete loss of support for one of my favorite games of all time. ups and downs, 4/19/25 update was the worst down we've seen."
Lucian,4,2024-12-27 05:39:07,"This is a really great game, very fun, but it can sometimes be frustrating losing the battles, especially if you're really close to the next arena and lose your trophies."
Jacob Budd-Rivers,4,2025-11-03 18:59:16,"So ridiculously pay to win now, so if you don't have the game and are thinking of getting it, either get it NOW before it becomes even worse, or don't get it at all. I got in back during Little Prince times, before the game was this bad. My experience with the game is alright, it's a fun game to come back to here and there. Miss the season shop but I've come to accept that's gone. Really a solid game just prices are bad"
Adrian - Nicolae Fleser,1,2025-11-03 22:51:04,"Since the November 2025 update I am unable to play the game. The game constantly crashes when I try to join a battle and suddenly closes, but the battle starts in the background cuz I am losing points. I cleared the data and also cleared the cache, then restarted the device and then tried to play the game again, still not working, still crashing when I try to start any battle. Also tried to delete the game and reinstall it, still crashing. Please fix the game!"
EL,1,2025-10-25 18:13:01,"The matchmaking is unbalanced. I’ve already tried uninstalling and reinstalling the game, but the connection keeps dropping randomly. After the latest update, the game gets stuck at 75% loading and never reaches 100%. I’ve cleared the cache and force-closed the app, but the issue still happens. Meanwhile, my internet connection is very stable and fast when using other apps."
Pavol Bolecek,1,2025-08-24 03:45:30,"The concept of the game is fun, yes, the execution is terrible. What used to be a fun game has, in the past few years, turned into a terrible pay to win game. Supercell, being the greedy company they are, of course make it so that if you're a free to play player, the progression takes years, and after a certain point is just plainly impossible without the need to spend money. They're removing free ways to progress, and making it so you have to pay. And they don't nerf OP pay to win cards."
Christian James,1,2025-10-10 10:28:29,"For those of you who are experiencing difficulties logging on, like the app crashes everytime you load it up this is for you. First, delete the app and re-download it. When the app is finished downloading, go into storage, find the app, and clear all cache and all data. Then I should be working fine. Hopefully this helps :) I found out about it recently I've been wondering how I cant log on."
Rossi Busquets,1,2025-09-19 20:29:41,"Unfortunately, the game is not what it used to be. Still kinda playable, but the performance lacks, a lot, constantly having internet problems in glimpses which made me lose a couple of won matches. Also is quite laggy sometimes usually when opening chests or loading the screen. Edit:The game is preventing me to play now, it's terrible. On clan wars it says I should create a war deck before, which I did, not even changed it. But it keeps showing the same error, and now on casual without warning."
محمد ترکی,1,2025-10-14 02:54:59,This game is full of small and big bugs. Game bugs: Sometimes your net is great but the game has bugs and your internet is weak. The reason you lose is the game's fault. The game used to be very good but now your skill is not visible and the reason you win is because of the cards you choose. The game is full of robots that are extremely strong. Very expensive offers and... I can't say more.
Ilias Filip,1,2025-10-03 06:27:47,"The game just screams pay-to-win. I recently started playing, and I've encountered countless PTW guys. It's ridiculous. Do you expect people to play a game where it doesn't take skill but money to advance? I have screenshots of games where I (9) have to battle against level 10 (ok I guess), 11, 12, or even 13! Which also brings us to matchmaking, which is also problematic. Same levels, not trophies, should determine who you play with. The game has many smaller issues as well..."
Kulranjan Tirkey,1,2025-08-17 18:26:01,"The network problem has been there for ages. And not fixed till now. I just returned to this game again, but the network drop is costing me trophies and it drops at a time when it's crucial to drop a troop but the network doesn't allow me to and keeps buffering. I'm very dissatisfied with the game. And Oh! ya game disconnects frequently. Even during the matches. LoL."
Nico,4,2025-10-30 03:51:15,"Really addicting game, it can be pretty frustrating playing against pay to win players but for the most part if you're skilled enough you can climb the ranks rather quickly. Too many people complain about P2W when they just suck at the game, everyone can get to 10k trophies without paying a penny if they actually try for a bit so I wouldn't say it's enough to make me dislike the game. The mechanics are overall very nice and the balancing is decent imo (except for most newly released cards)"
ufuk baycan,1,2025-10-19 16:16:07,"Somethings are very fishy here.. everytime right before I'm about to pass to next arena, all my opponents suddenly have that ""thing"" that I don't have, it could be evolutions, legendary heroes, or 15 level cards. And somehow those things that I can't beat is being sold at the shop for real money... hmmm... peculiar.."
Shaun Tshegofatšo,1,2025-10-26 21:57:32,"I used to enjoy this game but I no longer do, the game is way to pay to win now. I got to Arena 15 and started losing a lot of games due to other player's troops being higher level than mine. The game also seems to not want to unlock cards, I think about 10 weren't found. it limits how you play. I'm deleting this game and I won't look back."
Frank Walters,1,2025-10-19 05:00:25,"this is a very good, fun, and entertaining game and very competitive overall the gameplay is incredible but unfortunately this rating is low for a reason, this game is extremely pay to win to the point where if you spend enough money is is very difficult to near impossible to beat and overleveled player not even to mention the evolutions whic I think we're a great addition to the game but I unfortunately locked behind a paywall to even unlock them I want to rate this game higher but I just can't"
Adnan Pipić,1,2025-10-22 15:52:12,Too much gap when it comes to playing against people that buy cards. I understand you need to make money but this is just to much seeing lvl 15 card on a tower 12 player. And from what I noticed its 2/3 of players that are in my lobby. Maybe you sould think about filtering out regular and premium members so it can be a fair match. From what I see right now it's just not a strategy game anymore its just a pay to win game unless you are in higher arenas where you have to an extent maxed out card .
Charlie,1,2025-10-28 02:26:05,"This is a game with fun and original mechanics. The reason I rate it one star is due to its macabre amount of psychological manipulation. The game is made to be unfair; every once in a while, matchmaking places you against people with higher levels. You can still win these matches, but it's obviously harder because you unfairly start from a disadvantage. They do this so that you end up losing, get mad, and pay por the expensive upgrades that the game offers via its Battle Pass and shop ""offers""."
Dustin Ashley,1,2025-10-24 09:08:52,"They ruined the game. It used to be worth grinding. Now it's a complete joke and you literally will never max out your account without spending thousands of dollars. Shame. They also introduced AI bots (even at the highest level of trophies, currently 15k) to facilitate their dark-pattern biased algorithm designed to make sure your win rate stays around 50%. This game is truly not worth anyone's time anymore. Unless you enjoy paying $15 a month to unlock pay-walled power-crept mechanics. Huge L"
Avi Fecher,4,2025-10-28 02:02:29,"Clash royale is a great game that involves strategy and lots of fun.However there are some frustrating things about it, it is really easy to come across a p2w player because they are usually extremely over levelled and can win without any skill whatsoever.Despite this once you get to the much higher arenas most people will already have high level cards and the game will gradually become much much harder. In conclusion it is a very fun and enjoyable game although it does have some weaknesses."
C red,3,2025-11-02 14:58:58,"Great game, just pay to win issues. although, with patience you can play enough to win Its just a lot of time. Im currently 9500 trophies which isn't crazy good, but enough to have been around the block a few times. Only issues is this and eventually you start battling the same old decks. Because people just start looking up whats working or other alternatives. With the main one just being a hog rider & firecracker. The firecracker card is the definition of broken. It just takes away some fun."
Yaher,1,2025-10-21 09:42:07,The game is very unplayable now. The game was so strategy based back in the day and now it's like every time I play it I'm forced to spend at least $10 to enjoy this game. Also AI shouldn't get infinite elixir. Every game I queue into an AI cycles a giant and wizard every goblin card in the game. I mean are you guys even restricting these robots to 8 card decks? Also the game isn't even fair anymore. Prince in a starters arena? Evolution firecracker to. You've definitely lost 1 player for good.
Steven Smith,1,2025-10-31 14:31:54,"I tried to return after a long absence from playing. I don't see any option to sign into my Google account that my profile is linked to... I don't understand why they would remove this basic feature or why I'm unable to recover my account. I don't have a Supercell account, but I logged into my Clash of Clans account without any issues. This one just appears to be gone."
Demetrius D'souza,1,2025-10-30 17:36:51,Even after many years the devs have still not fixed the matchmaking in Clan Wars. It really is not fun going against players who have cards that are 5 levels above me. Complete Pay to win gameplay. I cannot understand why the card and tower levels cannot be capped at lvl 11 to make the gameplay more fair. Making the matchmaking based on win rate is a sure fire way to make it unfair for low level players
Ty Taylor,1,2025-10-25 15:47:03,"This game has turned into such a money grab. It used to be good when levels were capped at way lower numbers, but now people can just spend money instantly win. The way the arena's are, it's impossible to change your deck because without spending money you're just going to lose. I wish SuperCell would make it even possible to win by skill and not money. I also don't understand what their plan was with merge tactics, and it just seems like another way to spend money on this game"
Kaleb Hise,1,2025-10-19 21:52:32,I will be honest the game is fun when you are in lower arenas but after you hit 5k trophies thats where it ends. There's no fun in it anymore. The game gets so toxic I just want to play the game and not deal with some skill less push. The only thing in this game you need is the credit card because it is so heavily pay to win. This game sucks so don't play it. it is not worth the time and money you need to spend just to hit a certain arena.
Lance Pitts,1,2025-10-30 12:31:57,terrible game which is really sad because it used to be amazing. this game used to actually take skill but is now just a cash grab. if you don't spend money on the season pass you can't play the brand new broken evos for months. being free to play is extremely hard to get a full deck to level 15 so I'm stuck with level 14 cards which leads to really horrible interactions for me. level 15 and evos were the worst things ever added to this game which is such a shame. i can no longer be competitive
Jordan Rose (JZR),1,2025-10-22 07:25:41,"this game was so fun like a year ago but it was sorta repetitive so I left it for a bit, I log back in and the game is so pay to win its not even funny. the new evolution mechanic is basically unavailable for people won't don't wanna waste money for a game like this and as such the overpowered characters lead to the people willing to spend 100s of dollars to this have such an advantage it's so unfair."
James Linville,1,2025-10-23 03:31:19,"9 year veteran with this game and I've never seen such a huge flip flop from a balanced game turn to pay to win. Its borderline cynical the way the game manipulates you. The grind to level 15 takes a level of dedication you'd put into a full time job. Or spend $1000 just to be at an even playing field. They introduce new evo cards that break the game every few weeks and bundles in the shop more than they balance the game by an exponential amount. Save your dignity, time, and money, just dont."
Mm M,1,2025-11-03 07:52:31,"fun for a little bit but let's get to the higher levels it leaves you in a lockdown, you can't level up everybody you fights is at a higher level than you it has characters you haven't even unlocked yet and that kills the game you'll beat a couple you'll move a little bit forward and the Quest level but then be given people that are more powerful not getting it back down three or four quest levels can you repeat this process over and over even if you play with the best character you have unlocke"
Brennan Corey,1,2025-10-31 11:57:47,"The game is overall horrible. Matchmaking and balance is off by a ton! I began the game a week after release and it was fun with all the creative strategies and minimal cards with random decks, but throughout the years the game has added more cards and updates players like me think that began the downfall. Needless to say the game is absolutely horrible and the developers need to add back old game modes including 2v2's."
Will Coats,1,2025-10-26 23:29:20,"Been playing for over 3 Years. Initially this is a good real-time strategy game but getting high level without spending real money takes many years mathematically (not making this up, it's been calculated, Im not maxed myself). Supercell has turned into greedy devs recently and have progressively ruined the game."
Kaylee Parsuram,4,2025-11-03 18:02:36,"I like the game, been playing it for 2 years now. however the event side is still under construction, and I miss the days where you had to wait for a chest to open. because its really easy to level up, making it not that special to be on a high level"
Lucas Styles,1,2025-10-27 04:21:34,"I would not recommend playing this game. Something about the match making is off. When I change my deck my opponents decks change to counter it. On top of that, it purposely pins you up against people so it can demote your trophies more. It feels like I am made to win a couple, then lose it all so I keep playing. I keep on having 5 wins in a row followed by 11 losses. It's not worth your time to get addicted to this game."
Mohana priyan,2,2025-11-02 22:41:24,I have been playing since it came... game is excellent but updates having bug issues... I have contacted them via mail and told all my issues with photos and video. still no response yet . bug issues which I am seeing are No 1 : after completing each game it get stucked at 96% to play next game i have to close and reopen it No 2 : when I tend to open this game it's get closed automatically.. not once more than thrice it's getting closed
Petar,1,2025-10-29 05:18:55,"One of the biggest gaps when it comes to pay2win and free2play players, not only between the players themselves who pay to win but the game itself gives you nothing if u are a free player and you can't even progress so not much of a point in playing anymore of ur not willing to pay... bring back the old clash."
Kimberly Clifford,1,2025-11-03 16:20:31,"This game was great years ago. But now, Supercell keeps CHANGING the game WAY too much & ruins ur progress. I understand that they want to keep the game new and exciting, but every damn week or 2, they COMPLETELY change the ""stats"" of the cards. Its so bad now, that i COMPLETELY REFUSE to spend ANY MONEY on this game, whatsoever. On one day, you could invest all your coins & resources into beefing up a card, and the next day, THEY COMPLETELY CHANGE HOW the card even works! Very sad."
Vince Barnes,1,2025-11-04 13:14:51,"PLEASE PLEASE PLEASE DO NOT BUY THIS GAME! The game is designed to only help those who pay. If you don't pay you can lose up to 30 games in a row. Wow I've come back to this game, paid for a few things and progressed well I stopped paying and I lose all the time. FOR THE LOVE OF GOD STOP PLAYING THIS GAME WHICH IS MADE FOR THE RICH."
Sebastian H.,1,2025-10-29 16:34:30,"Used to have a good review but supercell, the players and general gameplay have gotten absolutely horrendous. It's not competitive anymore, you just pay 50$ (or more 💀) for the new broken thing they add each update and if you don't, you lose. For your own good, just don't. -- DO NOT RECOMMEND --"
Christopher Vanegas,2,2025-10-31 22:16:47,"Honestly speaking, it's a great game, BUT it's pay to win like crazy. It's also super annoying that when I don't buy the battle pass, I will go against every counter to any single deck I use, it also takes slightly longer to find a match, like they are hand picking my opponent. YET the minute I buy the stupid pass, I fly up the ranks like nothing, I somehow all of a sudden don't get a single counter deck until I get to the higher ranks again. It's just hilarious to me."
Reza Ghadirian,1,2025-11-04 07:23:47,"After the latest update, the game has become completely unplayable for me. It consistently crashes and kicks me out during the arena loading screen, right before a battle starts. I've tried everything on my end, including uninstalling and reinstalling the app, but the problem persists. This leads me to a serious concern: is this happening because of a new regional block for players in Iran or those using a VPN? If so, after supporting this game for over 9 years, this is an incredibly unfair way"
Levi Keating,1,2025-11-01 05:37:20,Was playing the game for about 2 months. Stopped playing for about a month. Trying to get back on the game? I go to my supper cell id to log back in 10 or 15 times he's sending me codes. I type it in and it said it's the wrong code over and over over again. Figure it out super sell your multibillion dollar company
A Google user,1,2025-10-19 17:13:06,"This game used to be my favourite years ago. It saddens me to see the changes for the worst being made. No chests like before, worst characters and no 2v2 mode. The constant sudden pop ups, sounds amd colors to make it more addicting, make the game more stressful. The game is being changed to appeal to the new generation and getting ruined."
Gábor Danku,1,2025-10-17 19:09:10,"I really try to like this game each time i play it, but it's really hard with the problems it has. First of all, the servers are really bad. If you dont have max network connection, it lags, doesnt place the card you use, and even disconnects you. Secondly, it's always been a pay to win game, and Supercell endorses it eith the updates. Honestly, they had a full season with evos to buff the 2.6 hog cycle. Last of all, the matchmaking is doodoo. You either go against god tier players or bots."
Ali Rafael Castillo Pérez,1,2025-10-19 21:36:47,"Clash Royale was my favorite strategic game, easy to understand and fun, unfortunately if you want to level up you need to pay which makes it a pay to win game. it's incredibly hard to reach higher trophies because your opponents have double evolutions, higher king tower, higher card levels and sometimes the new evolution that you need to buy from the store. I'm at 13,500 trophies, level 14, only one Evo and 3 cards level 15. Solution? Making things more accessible (gold, evos, elite cards...)"
Daniel,1,2025-10-20 10:36:19,"A game once hailed as the pinnacle of 1v1 strategy games, with other gamemodes that introduced more fun ways to enjoy the game, now reduced to something equivalent to having been created by EA. There is now absolutely minimal strategy required; all that's needed is your wallet and credit card and you can enjoy trampling on players. Additional gamemodes have been overhauled, especially draft mode, creating snowballing and steamrolling situations. The P2W pass is not worth it. Go play COC instead."
Aaron Cruz,2,2025-10-17 11:16:40,"Please save yourself your time and don't download this game. I've spent money on this game and have played for about 5+ years now and I can't really quit now. This game has fallen from what it used to be with monetization. In the shop, you get personalized offers which vary in price that give your progession that you wouldn't be able to get otherwise."
Araysh阿雷什,1,2025-10-16 00:54:42,"This is by far the most P2W game I have ever seen in my life. The difference in cards level makes it nearly impossible to kill the opponents cards, mid ladder is impossible to progress through without spending real cash on upgrading your cards and the competitive side of the game only starts after reaching 10k, at that point everyone has the same lvl so it's fair I guess."
Soumyadeep Das,1,2025-08-19 13:13:28,"I don't know whether this was intentional or not, but supercell seems to want to kill this game. 2v2 has been gone for a long time and a number of bugs/glitches have cropped up. There is little to no effort to fix this, as in subsequent updates, supercell seems to only focus on introducing new evolutions to make more and more money. Don't forget that the creator community cannot run this game unless there are players who actually play consistently, who you seem so eager to drive away."
Wolf Rule,2,2025-10-18 12:26:02,very unbalanced comps. and something weird is going on where they release new content ask 14 euros for it and then change that content to something else 🤔 isn't that fraud eu should look into that more big tech is making free money. they could do that for every character in the game times 14 euros. also the game after 8000 trophies becomes stagnant same you will be facing the same deck until 10000 and even after that it's going to be the same.
Sick Gamer,1,2025-10-25 14:08:19,"after 9-10 years, I didn't play it religiously, but...I tried to enjoy it, at the beginning..yes, it was a great game, with great cards. since the evolution cards came up, it's all a pay to get it faster, pay this, pay that, they don't care about balance anymore, mega knight evolution has been broken for so long now, witch evolution as well, simply they seem to introduce evolutions left and right, nothing feels special anymore. gg SUPERCELL, I'm out."
Emily Vang,1,2025-10-16 06:25:12,"I genuinely cannot fathom how pay to win this game is. One sided game. Words cannot describe how much money you have to put in to win games. One out of five stars is too much as a review. Doesn't even deserve 0. Graphics and mechanics are alright, but it's just p2w. Last clan voyage we got 3000 trophies just for princess cards, and I get literally about 1000 gold from a 4 star chest. It's useless, and there is literally nothing to do except get trophies and win battles against level 15 mk cycle."
Lakshay Gupta,1,2025-08-26 02:14:08,Played this game for 7 years now and they have made this into a pay to play mess . The progression system was actually really good until a little while ago but the developers just took out the core progression mechanic with no viable alternative . You actually can't even play because of this change if you have a new account even though it has been several months since the update and the game makes 30 million dollars plus every month
Kalynn Mulvaney,2,2025-10-16 14:21:06,sad to see another game franchise that once provided a fun free to play game with lots of content fall to corp greed. now if you want to get anywhere in CASH royal you've got to pay to play. I was never some elite player who won round to round but now it's become impossible to advance without dropping money. I've played for 9 years and have the badge to prove it. Do better. it's what veteran players want. not what this game's become.
Noah Bracken,2,2025-10-30 20:56:17,"fun game but there is so much BS from supercell it gets annoying. firstly the math on how you get trophies from 10k to 15k is wack. you could face someone with 10-15 more trophies than you and still get the standard 150, but you face someone with 5 less than you and you get 145. this matters because it'll put you at 5 away from the next arena, making you win another match to go up. my other big issue is the amount of in app purchases. why are there 12 of them in the shop before the normal offers"
Griffin ODonnell,1,2025-10-19 15:38:19,"Honestly used to be really funny, but they screwed a lot of the cards over and now it's just pay money for the pass royale to win edit: this is after trying to get back into it. I was wrong for attempting. new season comes out, and everyone will buy the new card and level 15 it. The scope creep in this game is awful and makes it so any old card is just useless. I believe this to be the worst game I've ever had to play"
Vik Vikt,1,2025-09-01 01:40:45,"It's a beautiful game concept with a execution so poor there's more 1 star reviews than 4 star ones. What used to be strategic and creative became a contest of who wasted more money on the game. Evolution slot unlock? £20. An actual Evolution? £7. It's gotten to the point where the ladder climb is 7 times more difficult than 3 or 2 years ago. Almost every aspect of the game that required skill has been pulverised and made pay to win. This is of course, supercell being supercell."
Yuejun Li (Norman),1,2025-11-04 11:47:36,"Such a painful exp when you try to claim rewards. You need to basically click the claim reward, scroll all the way to the bottom of the ladder, click the reward, click 4 time to spin the chest, wait for it to finish spinning a few seconds before opening. All that is for one chest. Want to claim all the alluring rewards? repeat the whole damn thing over and over again! Such a horrible and painful experience. Do the developers play the game themselves?"
IP,1,2025-10-20 04:15:35,"Pathetic after new updates. I'm playing for past 7 years, and the matching algorithm is pathetic. How come a player without evolution cards match with players who use evolution cards? It's either you're making people pay and purchase or you don't want them to play fair. It's horrible to see such updates. Now I'm feeling like it's better to uninstall this app. If you go beyond trophy levels 9k you're only getting matched with evo card players where they take advantage and it's easy fr them to win"
Nate,1,2025-09-01 22:00:13,"It was a great game but each day it seems the game is getting more and more pay to win. They keep adding more and more ways to level up your cards and get evos through micro transactions, but they slowly take away all of the free aspects of the game. For example they took away chests, the seasonal shop and you only get 2 Evo shards from the free side of the clash pass. It also seems that they are taking advantage of their streamers and ignoring what the players want."
Krista Loechner,5,2025-10-26 01:48:17,"I installed the app because my 15 year old son plays it. I thought I'd play it for a bit with him over the weekend, have a common interest to talk about. I am still playing the game 2 months later and, trust me, that's saying a lot for the game. I get bored easily. This game is a lot of fun. I buy the monthly pass because Supercell makes the purchase worth it. This month, the pass gave me all 6 shards to unlock the Evo Skeleton Army, and that's just one reward of 100+. Definitely recommend. 😜"
Aditya Sharma,1,2025-09-21 15:34:29,"In one word: pay-to-win. As a free-to-play player, I've noticed that earning opportunities are dwindling. Level 15 is designed to squeeze extra cash, and rewards from chests, shops, weekly deals, and events are becoming less valuable over time. New cards are overpowered, prompting players to spend heavily, only to be nerfed in future updates – a clever money-making tactic by Supercell."
Kriper Svinjica,1,2025-11-01 02:52:29,"Absolutely trash game, maybe the worst mobile game ever, its so pay to win. to supercell: never make a game again you're just ruining the gaming community. To the people maybe going to install this, don't. Just don't. It's a waste of time and a waste of money. Please delete this game. Also, the matchmaking is terrible. I was queuing up and matched up against a level 15 player. Fix your matchmaking supercell, fix your game."
Jackson Rogers,5,2025-11-02 03:10:10,"First, this game is one of the best games I have ever played, would recommend completely. Alright, the only issue I see is the loading in the game it usually stops at 75% and does not go up higher, but a lot of the time I am in the middle of a match and I have a big advantage over my enemy and the game crashes when I have really fast internet and makes me lose the match. A lot of people say this game is pay to win but it really isnt, but sometimes you vrs p2w players but the system isnt perfect."
Gerrard Proosten,1,2025-10-16 13:13:01,Its a great game but its near impossible to get an email for returning players to obtain their old account back . No matter how many times I try to set my phone up in game with saying yes to using my level 10 king then next page sending a confirmation email to my email address for a super cell ID - I never receive an email or if I do its like several days after I tried getting one and the code becomes invalid. Please fix this !!!!!!!!!!!! I do not want to start again
Presley Ashby,1,2025-11-04 02:30:35,"I will never spend another penny on this game until the obvious cheating and rigged matches are fixed. Besides, the Diamond Pass is WAY over priced. Also, when you lose, you lose pretty much all the trophies that you get from a win. That in and of itself is the most discouraging and demoralizing thing about the game. Then there's the fact that when you drop your units they can be destroyed before their little timer even finishes counting down. Yawn, eye roll and ""nope""= you cheated/rigged match."
Anthony Morales,1,2025-10-30 03:54:22,"this game ducking sucks now, I can't get a single match as a new player without having to come across pay to win players. This game used to be soo good back then, but now all they want is your money. The game is so bad now because you can't even enjoy playing without having to come across 3-10 players who spent hundreds of dollars to get everything. Would not recommend playing until it dies out...."
Luis mateo Salinas Miranda,5,2025-11-02 08:18:49,"Game... Don't play it. Once you reach a certain level, you're hooked and can't quit. You uninstall it, but you'll come back and reinstall it. Never play it again; it's a guaranteed death sentence, This is the only thing standing between getting good grades, having a good education, having a stable family and job, and being able to save for and enjoy vacations; it's the only thing that gets in the way Between a good life and me, but I can't let it . This is serious, don't play around."
SabreTooth,3,2025-11-04 14:38:35,"Updated review. from 1 to 3 stars. came back after 3 years. seems to be a lot better. even added an auto chess game mode - LOVE it, love me some auto chess. but for the love of christ, remove the modifiers that give dummies with random traits. they are just aweful inside of this mode. other than that. game is a lot better and for me at least is now playable and competive. just hate these stupid dummy traits in merge tactics. this is all. have a wonderful day."
Valentin Loyola,5,2025-10-22 21:20:40,"This is the best game I have ever played in all of my life. Clash royale has changed my life for the better, it has introduced me into a new type of gaming and it has shown me what a real game is like. I love how balanced all the cards are and how every match you get to expereince true sportmanship from your opponents. Unlike other games, clash royale is a very free to play game in which money will not give you an advantage over others. Best game I have ever played and I would recomend it."
